Method,Accuracy,Precision,Recall,F1,ROC_AUC
Grid Search,0.9798500280696126,0.9683378341356502,0.9921405084609832,0.980094674087425,0.995730323364105
Random Search,0.9793086855401395,0.9678094790810535,0.9915991659315101,0.9795599041375349,0.9954292991855989
Bayesian,0.9793938968642233,0.9660458634232865,0.993714411741118,0.9796848206917341,0.9956725297632989
